6378.1363,398600.4415,200,200
0,0,0.e+00,0.e+00
1,0,0.e+00,0.e+00
1,1,0.e+00,0.e+00
2,0,-4.8416938905481e-04,0.e+00
2,1,-2.0458338184745e-10,1.3968195379551e-09
2,2,2.4393233001191e-06,-1.4002662003867e-06
3,0,9.5718508415439e-07,0.e+00
3,1,2.0304752656064e-06,2.4817416903031e-07
3,2,9.0480066975068e-07,-6.1900441427103e-07
3,3,7.212892424765e-07,1.4143556434052e-06
4,0,5.3999143526074e-07,0.e+00
4,1,-5.3617583789434e-07,-4.7356802287476e-07
4,2,3.5051159931087e-07,6.6243944849186e-07
4,3,9.9085503541734e-07,-2.0097529442342e-07
4,4,-1.8846750474516e-07,3.0882228278756e-07
5,0,6.8715981001179e-08,0.e+00
5,1,-6.2904051380481e-08,-9.4373263356928e-08
5,2,6.5210393080303e-07,-3.2334838450788e-07
5,3,-4.5187965449909e-07,-2.1500140801223e-07
5,4,-2.9533633996919e-07,4.9817834613976e-08
5,5,1.7479367861529e-07,-6.6937444851133e-07
6,0,-1.4994011973125e-07,0.e+00
6,1,-7.5903534713091e-08,2.6516969820404e-08
6,2,4.8671477410889e-08,-3.7379063632786e-07
6,3,5.723525114083e-08,8.9355908317172e-09
6,4,-8.6024306020762e-08,-4.7142492778928e-07
6,5,-2.6717044535375e-07,-5.3648870593762e-07
6,6,9.4667858117668e-09,-2.3740563878695e-07
7,0,9.0504630229132e-08,0.e+00
7,1,2.8088898145081e-07,9.5119644062781e-08
7,2,3.3041560746535e-07,9.2985239787248e-08
7,3,2.5045166263142e-07,-2.1714748211003e-07
7,4,-2.7498938059553e-07,-1.2406704411494e-07
7,5,1.660131732858e-09,1.7933888039325e-08
7,6,-3.5880775879961e-07,1.5179454735699e-07
7,7,1.5062884219099e-09,2.411625927794e-08
8,0,4.948133410478e-08,0.e+00
8,1,2.3159979727734e-08,5.8896665124862e-08
8,2,8.0015152191272e-08,6.5278835020898e-08
8,3,-1.9378833774969e-08,-8.5977473175173e-08
8,4,-2.4436744168468e-07,6.9808169573661e-08
8,5,-2.5695381020603e-08,8.9195503483206e-08
8,6,-6.5962471839471e-08,3.0894479673499e-07
8,7,6.7261439849585e-08,7.487567087308e-08
8,8,-1.2403873503204e-07,1.2055330686769e-07
9,0,2.8023188203329e-08,0.e+00
9,1,1.4215021812885e-07,2.1399410624745e-08
9,2,2.1413308310842e-08,-3.1693757099588e-08
9,3,-1.6061777555625e-07,-7.4288065727748e-08
9,4,-9.3744494781812e-09,1.9903426483849e-08
9,5,-1.6310476153586e-08,-5.404192322945e-08
9,6,6.278221435123e-08,2.2295178138467e-07
9,7,-1.1797705231858e-07,-9.6928434857123e-08
9,8,1.8814003080096e-07,-3.0006845470535e-09
9,9,-4.755671405566e-08,9.6880058387687e-08
10,0,5.332001052655e-08,0.e+00
10,1,8.376484325141e-08,-1.3109151284691e-07
10,2,-9.3986202660537e-08,-5.1279822748794e-08
10,3,-7.0166481788361e-09,-1.5414522056325e-07
10,4,-8.4472635586329e-08,-7.9031973795022e-08
10,5,-4.9292034854895e-08,-5.0611717909905e-08
10,6,-3.7585195034396e-08,-7.9769574266997e-08
10,7,8.2601322177926e-09,-3.0472813339748e-09
10,8,4.0596116481898e-08,-9.1718696376024e-08
10,9,1.2538272379586e-07,-3.7954367789185e-08
10,10,1.0042456986404e-07,-2.3859595666514e-08
11,0,-5.0772496297652e-08,0.e+00
11,1,1.5603252740856e-08,-2.711906259628e-08
11,2,2.0113610023582e-08,-9.9008467215296e-08
11,3,-3.0581202091025e-08,-1.488434761118e-07
11,4,-3.7952641039471e-08,-6.3769759692111e-08
